zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Thảo Trang	3092	Pop Mainstream Vocal	0	39.0	Việt Nam			
The Men	3094		0		Việt Nam			
Kim Tiểu Long	3099		6		Việt Nam	Nhạc Trữ Tình		
Kiwi Ngô Mai Trang	3102	Pop Mainstream Vocal	0		Việt Nam			
Thiên Trường	3103	Pop 2000 sến	0	39.0	Việt Nam			
Thu Thủy	3110		0	21.0	Việt Nam			
Lâm Chấn Khang	3115	Pop sến loại 2	0	21.0	Việt Nam	V-Pop		
Lâm Chí Khanh	3121	Pop 9x Sến	0	6.0	Việt Nam			
Trà My Idol	3129	V-pop Mainstream	0	44.0	Việt Nam			
Trần Hoài Phong	3130		6		Việt Nam			
NSND Lê Dung	3134		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Thiên Vương	3140		0		Việt Nam	Rock Việt		
Lan Ngọc	3142		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Trịnh Tuấn Vỹ	3145		0	22.0	Việt Nam	V-Pop		
Trương Quỳnh Anh	3148	Pop sến loại 2	0		Việt Nam			
Ưng Đại Vệ	3151		0	6.0	Việt Nam			
Việt My	3160	Pop 2000 sến	0	39.0	Việt Nam	Dance Việt		
Vũ Duy Khánh	3170		0		Việt Nam			
Vy Oanh	3172	Pop sến loại 1	0		Việt Nam			
Wanbi Tuấn Anh	3175		0	6.0	Việt Nam			
Xuân Hạ	3179	Pop 2000 sến	0		Việt Nam			
Xuân Nghi	3181	Indie sôi động	33		Việt Nam	V-Pop		
Xuân Phú	3184		6	18.0	Việt Nam	Nhạc Trữ Tình		
Xuân Mai	3187		33		Việt Nam	Nhạc Thiếu Nhi		
Yến Nhi	3188	Pop 2000	0		Việt Nam			
Yến Trang	3190	Pop 2000	0		Việt Nam			
Ông Cao Thắng	3194	Pop 2000	0	39.0	Việt Nam			
